,states
0,content#menu#credits
1,content#menu#episodes
2,content#menu#like
3,content#menu#morelikethis
4,content#menu#mylist
5,content#menu#play_resume
6,content#menu#subtitles
7,home#grid#thumbnail1
8,home#grid#thumbnail2
9,home#main#ad
10,home#main#back_to_top
11,home#main#game_thumbnail[1]
12,home#main#thumbnail
13,home#menu#gaming
14,home#menu#home
15,home#menu#library
16,home#menu#music
17,home#menu#my_list
18,home#menu#new_popular
19,home#menu#play_something
20,home#menu#search
21,home#menu#settings
22,home#menu#signin
23,home#menu#subscriptions
24,home#menu#tv_shows
25,home#spotlight#more_info
26,home#spotlight#play
27,home#top_10#thumbnail_1
28,home#top_10#thumbnail_2
29,home#top_10#thumbnail_3
30,home#top_10#thumbnail_5
31,home#top_10#thumbnail_7
32,home#top_10#thumbnail_8
33,home#top_10#thumbnail_9
34,play#menu#adskip
35,play#play#play
36,profile_page#default#profile[1]
37,profile_page#default#profile[2]
38,profile_page#default#profile[3]
39,search#control#key_bs
40,search#control#key_clear
41,search#control#key_mic
42,search#control#key_search
43,search#control#key_space
44,search#grid#thumbnail1
45,search#grid#thumbnail3
46,search#grid#thumbnail4
47,search#keyboard#key_
48,search#keyboard#key_'
49,search#keyboard#key_3
50,search#keyboard#key_8
51,search#keyboard#key_a
52,search#keyboard#key_bs
53,search#keyboard#key_d
54,search#keyboard#key_e
55,search#keyboard#key_f
56,search#keyboard#key_h
57,search#keyboard#key_j
58,search#keyboard#key_k
59,search#keyboard#key_m
60,search#keyboard#key_n
61,search#keyboard#key_o
62,search#keyboard#key_q
63,search#keyboard#key_r
64,search#keyboard#key_s
65,search#keyboard#key_to_number
66,search#keyboard#key_u
67,search#keyboard#key_v
68,search#keyboard#key_w
69,search#keyboard#key_x
70,search#keyboard#key_y
71,search#keyboard#key_z
72,series#episodes#thumbnail
