,states
0,appinstall#main#close
1,appinstall#main#open
2,cam_move#main#close
3,cam_move#main#fullscreen
4,content#menu#credits
5,content#menu#episodes
6,content#menu#like
7,content#menu#morelikethis
8,content#menu#mylist
9,content#menu#play_resume
10,content#menu#subtitles
11,home#grid#thumbnail1
12,home#grid#thumbnail2
13,home#main#ad
14,home#main#back_to_top
15,home#main#game_thumbnail[1]
16,home#main#thumbnail
17,home#menu#gaming
18,home#menu#home
19,home#menu#library
20,home#menu#music
21,home#menu#my_list
22,home#menu#new_popular
23,home#menu#play_something
24,home#menu#search
25,home#menu#settings
26,home#menu#signin
27,home#menu#subscriptions
28,home#menu#tv_shows
29,home#spotlight#more_info
30,home#spotlight#play
31,home#top_10#thumbnail_1
32,home#top_10#thumbnail_2
33,home#top_10#thumbnail_3
34,home#top_10#thumbnail_5
35,home#top_10#thumbnail_7
36,home#top_10#thumbnail_8
37,home#top_10#thumbnail_9
38,network#main#ok
39,play#menu#adskip
40,play#play#play
41,profile_page#default#profile[1]
42,profile_page#default#profile[2]
43,profile_page#default#profile[3]
44,search#control#key_bs
45,search#control#key_clear
46,search#control#key_mic
47,search#control#key_search
48,search#control#key_space
49,search#grid#thumbnail1
50,search#grid#thumbnail3
51,search#grid#thumbnail4
52,search#keyboard#key_
53,search#keyboard#key_'
54,search#keyboard#key_3
55,search#keyboard#key_8
56,search#keyboard#key_a
57,search#keyboard#key_bs
58,search#keyboard#key_d
59,search#keyboard#key_e
60,search#keyboard#key_f
61,search#keyboard#key_h
62,search#keyboard#key_j
63,search#keyboard#key_k
64,search#keyboard#key_m
65,search#keyboard#key_n
66,search#keyboard#key_o
67,search#keyboard#key_q
68,search#keyboard#key_r
69,search#keyboard#key_s
70,search#keyboard#key_to_number
71,search#keyboard#key_u
72,search#keyboard#key_v
73,search#keyboard#key_w
74,search#keyboard#key_x
75,search#keyboard#key_y
76,search#keyboard#key_z
77,series#episodes#thumbnail
78,sh#alarm#settings
79,sh#alarm#skip_today
80,sh#alarm#start_now
81,st_pin#main#cancel
82,st_timeout#main#ok
83,usb_in#main#browse
84,usb_in#main#cancel
85,usb_out#exit#ok
