,state
0,profile_page#default#profile[1]
1,home#spotlight#play
2,home#menu#my_list
3,content#menu#subtitles
4,search#control#key_space
5,search#keyboard#key_u
6,home#menu#play_something
7,search#grid#thumbnail3
8,home#menu#new_popular
9,content#menu#credits
10,content#menu#play_resume
11,content#menu#like
12,home#top_10#thumbnail_2
13,search#keyboard#key_j
14,content#menu#morelikethis
15,home#menu#tv_shows
16,play#play#play
17,home#top_10#thumbnail_5
18,home#menu#search
19,search#keyboard#key_x
20,home#main#thumbnail
21,profile_page#default#profile[2]
22,home#top_10#thumbnail_7
23,profile_page#default#profile[3]
24,series#episodes#thumbnail
25,home#top_10#thumbnail_8
26,search#keyboard#key_3
27,home#menu#home
28,search#grid#thumbnail1
29,search#keyboard#key_v
30,search#keyboard#key_8
31,search#control#key_bs
32,home#top_10#thumbnail_3
33,search#grid#thumbnail4
34,search#keyboard#key_d
35,search#keyboard#key_a
36,search#keyboard#key_o
37,home#top_10#thumbnail_1
38,search#keyboard#key_y
39,content#menu#mylist
40,search#keyboard#key_f
41,search#keyboard#key_m
42,content#menu#episodes
43,home#top_10#thumbnail_9
44,home#spotlight#more_info
