,state
0,search#keyboard#key_d
1,content#menu#morelikethis
2,search#grid#thumbnail1
3,home#menu#my_list
4,search#keyboard#key_u
5,search#grid#thumbnail3
6,home#top_10#thumbnail_2
7,home#main#thumbnail
8,home#menu#tv_shows
9,home#top_10#thumbnail_5
10,search#control#key_bs
11,search#keyboard#key_8
12,search#keyboard#key_v
13,content#menu#credits
14,home#top_10#thumbnail_7
15,home#spotlight#more_info
16,home#menu#new_popular
17,search#keyboard#key_a
18,home#menu#home
19,search#keyboard#key_f
20,series#episodes#thumbnail
21,content#menu#play_resume
22,search#keyboard#key_j
23,search#grid#thumbnail4
24,profile_page#default#profile[1]
25,content#menu#subtitles
26,home#top_10#thumbnail_1
27,home#top_10#thumbnail_8
28,home#top_10#thumbnail_9
29,search#keyboard#key_3
30,home#menu#play_something
31,home#menu#search
32,content#menu#mylist
33,play#play#play
34,search#keyboard#key_y
35,profile_page#default#profile[2]
36,home#spotlight#play
37,search#control#key_space
38,content#menu#episodes
39,content#menu#like
40,home#top_10#thumbnail_3
41,profile_page#default#profile[3]
42,search#keyboard#key_x
43,search#keyboard#key_m
44,search#keyboard#key_o
