,state
0,search#keyboard#key_d
1,home#main#back_to_top
2,search#control#key_clear
3,home#grid#thumbnail1
4,search#control#key_mic
5,play#menu#adskip
6,home#menu#gaming
7,search#keyboard#key_r
8,search#keyboard#key_u
9,search#keyboard#key_bs
10,home#menu#music
11,search#keyboard#key_to_number
12,search#keyboard#key_a
13,home#menu#home
14,search#keyboard#key_h
15,home#menu#subscriptions
16,search#keyboard#key_j
17,search#keyboard#key_k
18,search#keyboard#key_w
19,search#keyboard#key_e
20,search#keyboard#key_'
21,home#menu#library
22,home#menu#settings
23,search#keyboard#key_n
24,search#control#key_search
25,search#keyboard#key_
26,home#menu#search
27,play#play#play
28,home#grid#thumbnail2
29,search#keyboard#key_y
30,home#main#ad
31,search#keyboard#key_s
32,home#main#game_thumbnail[1]
33,search#control#key_space
34,search#keyboard#key_x
35,search#keyboard#key_q
36,home#menu#signin
37,search#keyboard#key_o
38,search#keyboard#key_z
