,state
0,search#keyboard#key_w
1,search#keyboard#key_q
2,search#control#key_clear
3,search#control#key_space
4,search#keyboard#key_u
5,search#keyboard#key_z
6,search#keyboard#key_k
7,search#keyboard#key_r
8,search#keyboard#key_h
9,home#menu#settings
10,search#keyboard#key_j
11,home#grid#thumbnail2
12,home#menu#gaming
13,home#main#game_thumbnail[1]
14,home#grid#thumbnail1
15,search#keyboard#key_'
16,search#keyboard#key_bs
17,home#menu#subscriptions
18,play#play#play
19,home#menu#search
20,search#keyboard#key_
21,search#keyboard#key_n
22,home#menu#signin
23,search#keyboard#key_x
24,play#menu#adskip
25,search#control#key_search
26,home#menu#home
27,search#control#key_mic
28,home#main#back_to_top
29,search#keyboard#key_s
30,home#menu#library
31,search#keyboard#key_to_number
32,search#keyboard#key_e
33,search#keyboard#key_d
34,search#keyboard#key_a
35,search#keyboard#key_o
36,search#keyboard#key_y
37,home#main#ad
38,home#menu#music
