Icon_state,index
content_menu_episodes,0
menu_default_home,1
content_menu_subtitles,2
content_menu_credits,3
home_top10_8,4
menu_default_mylist,5
home_top10_4,6
home_top10_5,7
menu_default_tvshow,8
content_menu_replay,9
content_menu_play,10
content_menu_morelikethis,11
home_top10_3,12
home_top10_10,13
content_menu_like,14
menu_default_popular,15
menu_default_search,16
home_top10_7,17
home_top10_1,18
content_menu_mylist,19
home_top10_9,20
menu_default_movie,21
home_top10_2,22
home_top10_6,23
menu_default_playsomething,24
