,states
0,content#menu#credits
1,content#menu#episodes
2,content#menu#like
3,content#menu#morelikethis
4,content#menu#mylist
5,content#menu#play_resume
6,content#menu#subtitles
7,home#main#thumbnail
8,home#menu#home
9,home#menu#my_list
10,home#menu#new_popular
11,home#menu#play_something
12,home#menu#search
13,home#menu#tv_shows
14,home#spotlight#more_info
15,home#spotlight#play
16,home#top_10#thumbnail_1
17,home#top_10#thumbnail_2
18,home#top_10#thumbnail_3
19,home#top_10#thumbnail_5
20,home#top_10#thumbnail_7
21,home#top_10#thumbnail_8
22,home#top_10#thumbnail_9
23,play#play#play
24,profile_page#default#profile[1]
25,profile_page#default#profile[2]
26,profile_page#default#profile[3]
27,search#control#key_bs
28,search#control#key_space
29,search#grid#thumbnail1
30,search#grid#thumbnail3
31,search#grid#thumbnail4
32,search#keyboard#key_3
33,search#keyboard#key_8
34,search#keyboard#key_a
35,search#keyboard#key_d
36,search#keyboard#key_f
37,search#keyboard#key_j
38,search#keyboard#key_m
39,search#keyboard#key_o
40,search#keyboard#key_u
41,search#keyboard#key_v
42,search#keyboard#key_x
43,search#keyboard#key_y
44,series#episodes#thumbnail
