,x1,y1,w1,h1,x2,y2,w2,h2,x3,y3,w3,h3,x4,y4,w4,h4,x5,y5,w5,h5,x6,y6,w6,h6,x7,y7,w7,h7,x8,y8,w8,h8,x9,y9,w9,h9,x10,y10,w10,h10,x11,y11,w11,h11,x12,y12,w12,h12,x13,y13,w13,h13,x14,y14,w14,h14,x15,y15,w15,h15,x16,y16,w16,h16,x17,y17,w17,h17,x18,y18,w18,h18,x19,y19,w19,h19,x20,y20,w20,h20,x21,y21,w21,h21,x22,y22,w22,h22,x23,y23,w23,h23,x24,y24,w24,h24,x25,y25,w25,h25,x26,y26,w26,h26,x27,y27,w27,h27,x28,y28,w28,h28,x29,y29,w29,h29,x30,y30,w30,h30,x31,y31,w31,h31,x32,y32,w32,h32,x33,y33,w33,h33,x34,y34,w34,h34,x35,y35,w35,h35,x36,y36,w36,h36,x37,y37,w37,h37,x38,y38,w38,h38,x39,y39,w39,h39,x40,y40,w40,h40,x41,y41,w41,h41,x42,y42,w42,h42,x43,y43,w43,h43,x44,y44,w44,h44,x45,y45,w45,h45,x46,y46,w46,h46,x47,y47,w47,h47,x48,y48,w48,h48,x49,y49,w49,h49,x50,y50,w50,h50,x51,y51,w51,h51,x52,y52,w52,h52,x53,y53,w53,h53,x54,y54,w54,h54,x55,y55,w55,h55,x56,y56,w56,h56,x57,y57,w57,h57,x58,y58,w58,h58,x59,y59,w59,h59,x60,y60,w60,h60,State
0,53,143,209,121,0,0,720,576,0,0,720,576,13,138,32,13,15,109,28,28,21,252,17,15,21,311,13,15,21,451,16,17,22,164,13,14,22,193,15,16,22,221,16,18,22,281,15,15,51,140,212,126,55,405,85,87,149,405,85,86,244,407,82,83,267,145,204,117,337,405,84,87,429,406,85,85,479,145,203,116,523,406,82,84,620,409,78,82,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,home#grid#thumbnail1
1,54,143,209,121,1,0,720,576,1,0,720,576,14,138,32,13,16,109,28,28,22,252,17,15,22,311,13,15,22,451,16,17,23,164,13,14,23,193,15,16,23,221,16,18,23,281,15,15,52,140,212,126,56,405,85,87,150,405,85,86,245,407,82,83,268,145,204,117,338,405,84,87,430,406,85,85,480,145,203,116,524,406,82,84,621,409,78,82,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,1,0,720,576,home#grid#thumbnail1
2,53,144,209,121,0,1,720,576,0,1,720,576,13,139,32,13,15,110,28,28,21,253,17,15,21,312,13,15,21,452,16,17,22,165,13,14,22,194,15,16,22,222,16,18,22,282,15,15,51,141,212,126,55,406,85,87,149,406,85,86,244,408,82,83,267,146,204,117,337,406,84,87,429,407,85,85,479,146,203,116,523,407,82,84,620,410,78,82,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,0,1,720,576,home#grid#thumbnail1
3,53,143,210,121,0,0,720,576,0,0,720,576,13,138,33,13,15,109,29,28,21,252,18,15,21,311,14,15,21,451,17,17,22,164,14,14,22,193,16,16,22,221,17,18,22,281,16,15,51,140,213,126,55,405,86,87,149,405,86,86,244,407,83,83,267,145,205,117,337,405,85,87,429,406,86,85,479,145,204,116,523,406,83,84,620,409,79,82,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,home#grid#thumbnail1
4,53,143,209,122,0,0,720,576,0,0,720,576,13,138,32,14,15,109,28,29,21,252,17,16,21,311,13,16,21,451,16,18,22,164,13,15,22,193,15,17,22,221,16,19,22,281,15,16,51,140,212,127,55,405,85,88,149,405,85,87,244,407,82,84,267,145,204,118,337,405,84,88,429,406,85,86,479,145,203,117,523,406,82,85,620,409,78,83,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,home#grid#thumbnail1
5,52,143,209,121,0,0,720,576,0,0,720,576,12,138,32,13,14,109,28,28,20,252,17,15,20,311,13,15,20,451,16,17,21,164,13,14,21,193,15,16,21,221,16,18,21,281,15,15,50,140,212,126,54,405,85,87,148,405,85,86,243,407,82,83,266,145,204,117,336,405,84,87,428,406,85,85,478,145,203,116,522,406,82,84,619,409,78,82,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,home#grid#thumbnail1
6,53,142,209,121,0,0,720,576,0,0,720,576,13,137,32,13,15,108,28,28,21,251,17,15,21,310,13,15,21,450,16,17,22,163,13,14,22,192,15,16,22,220,16,18,22,280,15,15,51,139,212,126,55,404,85,87,149,404,85,86,244,406,82,83,267,144,204,117,337,404,84,87,429,405,85,85,479,144,203,116,523,405,82,84,620,408,78,82,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,0,0,720,576,home#grid#thumbnail1
7,53,143,208,121,0,0,719,576,0,0,719,576,13,138,31,13,15,109,27,28,21,252,16,15,21,311,12,15,21,451,15,17,22,164,12,14,22,193,14,16,22,221,15,18,22,281,14,15,51,140,211,126,55,405,84,87,149,405,84,86,244,407,81,83,267,145,203,117,337,405,83,87,429,406,84,85,479,145,202,116,523,406,81,84,620,409,77,82,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,0,0,719,576,home#grid#thumbnail1
8,53,143,209,120,0,0,720,575,0,0,720,575,13,138,32,12,15,109,28,27,21,252,17,14,21,311,13,14,21,451,16,16,22,164,13,13,22,193,15,15,22,221,16,17,22,281,15,14,51,140,212,125,55,405,85,86,149,405,85,85,244,407,82,82,267,145,204,116,337,405,84,86,429,406,85,84,479,145,203,115,523,406,82,83,620,409,78,81,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,0,0,720,575,home#grid#thumbnail1
9,55,143,209,121,2,0,720,576,2,0,720,576,15,138,32,13,17,109,28,28,23,252,17,15,23,311,13,15,23,451,16,17,24,164,13,14,24,193,15,16,24,221,16,18,24,281,15,15,53,140,212,126,57,405,85,87,151,405,85,86,246,407,82,83,269,145,204,117,339,405,84,87,431,406,85,85,481,145,203,116,525,406,82,84,622,409,78,82,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,2,0,720,576,home#grid#thumbnail1
